matchkey,donorkey,facilitykey,matchstatus,matchsubstatus,matchCreated,closedOrDelivered,enumcode,qty
1e04375c-bd18-4b8c-bcef-bf5857f72f0b,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,00d0a9ff-76cc-470c-bf9b-7ff38a88e759,closed,prefers_different,2021-05-24 22:30:10.149 UTC,2021-06-18 00:02:42.471 UTC,nitrile_gloves,0
1e04375c-bd18-4b8c-bcef-bf5857f72f0b,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,00d0a9ff-76cc-470c-bf9b-7ff38a88e759,closed,prefers_different,2021-05-24 22:30:10.149 UTC,2021-06-18 00:02:42.471 UTC,face_shield,0
1e04375c-bd18-4b8c-bcef-bf5857f72f0b,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,00d0a9ff-76cc-470c-bf9b-7ff38a88e759,closed,prefers_different,2021-05-24 22:30:10.149 UTC,2021-06-18 00:02:42.471 UTC,gown,0
1e04375c-bd18-4b8c-bcef-bf5857f72f0b,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,00d0a9ff-76cc-470c-bf9b-7ff38a88e759,closed,prefers_different,2021-05-24 22:30:10.149 UTC,2021-06-18 00:02:42.471 UTC,sanitizer,2
e5bf4e5c-7702-441d-91fd-32e313c99db6,4d4a58a1-f187-4b16-bd64-b73f7b736e29,00d0a9ff-76cc-470c-bf9b-7ff38a88e759,delivered,,2021-06-25 12:24:54.53 UTC,2021-07-09 20:36:02.514 UTC,sanitizer,125
858c2cec-10de-417e-844e-19d740dcedd0,9ddda6e9-e9bb-4008-a1b9-23774f0ba6a2,00d7dd48-2a09-46b7-956d-44dbc19b77fb,delivered,,2020-11-25 01:20:25.107 UTC,2020-11-25 02:20:33.645 UTC,n95,300
19b7c7f1-1519-43ca-8416-f04815118ac2,95821054-364a-4dad-b549-3de9be479b64,00ea8a0e-4100-4bd7-8b80-367fd2b1544d,closed,prefers_different,2020-09-04 01:40:08.936 UTC,2020-09-04 01:09:55 UTC,coveralls,100
a7f532fd-0e98-460f-bf30-7084a713efed,9456c37f-a1b9-4076-b244-38f375ef03c8,00ed0754-efbc-48d8-b215-12634c94850c,delivered,,2020-04-24 00:00:00 UTC,2020-10-14 07:10:39 UTC,coveralls,1000
8f1b18f7-97d5-4511-be8c-c6aad8fdedfd,9ddda6e9-e9bb-4008-a1b9-23774f0ba6a2,00ef2668-4437-40bd-b78b-130703a0affb,closed,no_supply,2020-08-13 18:07:14.74 UTC,2020-08-17 07:08:32 UTC,n95,200
43e0c090-1e1d-4fe5-911b-ac8cc5e13909,ca0af8e2-7c7c-4b0c-a315-78a546849221,0105133c-0605-4b6b-be33-85d9be4c19da,closed,no_supply,2020-07-28 14:49:46.269 UTC,2020-07-29 05:07:28 UTC,cloth_mask,20
b6e8c647-2695-4b48-9bd0-6741f73668fd,35410c7b-e7cf-4dc0-9e93-1f4f31a56039,0105133c-0605-4b6b-be33-85d9be4c19da,delivered,,2020-07-29 17:25:35.369 UTC,2020-08-17 09:08:28 UTC,cloth_mask,10
2b78e82a-c8a8-49ad-939e-0781c4e13642,bd8fb9de-b900-46b1-8ab3-f1f32c46e7c3,011537a5-b15f-4a99-814a-dc2cf21d86b4,closed,no_supply,2020-08-04 04:08:36.936 UTC,2020-08-10 10:08:24 UTC,nitrile_gloves,300
03ed968c-4f36-46ba-8581-5dcc0013317d,8a8a49d1-bff1-4ff6-9c7a-6d413d8b88be,011a1c62-91ae-43cc-8415-e908c6166c0d,closed,no_supply,2020-06-25 00:00:00 UTC,2020-10-14 07:10:41 UTC,cloth_mask,0
a29eb34f-3bd3-423e-8575-f0028dbc9f92,277172eb-7f69-4264-a401-4621ad69d2f3,0128484f-29e2-49ab-b4f2-7fb4f7b0055e,delivered,,2021-03-20 00:44:43.37 UTC,2021-04-14 20:44:19.442 UTC,coveralls,35
20632735-ab68-441d-ad94-bf1983987c34,b7a73c90-63ec-49df-b7f2-a6b7e7f1d005,013ecd18-7f13-4a20-b455-f83e3710d754,delivered,,2020-07-29 00:00:00 UTC,2020-10-14 08:10:11 UTC,cloth_mask,30
408a6e2a-fb1b-461a-bdab-aa3036d741b1,2fce4bf7-3f1c-4641-9715-a0e702996402,013ecd18-7f13-4a20-b455-f83e3710d754,closed,no_contact_donor,2020-07-28 15:03:10.741 UTC,2020-08-14 11:08:25 UTC,cloth_mask,100
5b3b8082-0395-4337-8216-9b900f6cb92b,4b79b8c6-f857-4e3c-ac7f-dcaf4969a58c,013ecd18-7f13-4a20-b455-f83e3710d754,delivered,,2020-06-25 00:00:00 UTC,2020-10-14 07:10:34 UTC,coveralls,200
66816f75-c5fb-493b-b0eb-291f0bece083,c0c12966-62ea-44d9-902c-82f9425e7220,013ecd18-7f13-4a20-b455-f83e3710d754,delivered,,2020-08-09 17:40:00.001 UTC,2020-08-17 09:08:02 UTC,surgical_mask,50
66816f75-c5fb-493b-b0eb-291f0bece083,c0c12966-62ea-44d9-902c-82f9425e7220,013ecd18-7f13-4a20-b455-f83e3710d754,delivered,,2020-08-09 17:40:00.001 UTC,2020-08-17 09:08:02 UTC,n95,40
b92a4f8a-ec4d-4d10-ba96-522ba518e68e,9ddda6e9-e9bb-4008-a1b9-23774f0ba6a2,013ecd18-7f13-4a20-b455-f83e3710d754,closed,no_supply,2020-08-13 18:16:54.735 UTC,2020-08-17 07:08:56 UTC,n95,160
c88baa21-609a-45dc-825f-c8547e54d987,684197c0-7841-4ba4-9bf2-351fbc39a3d3,013ecd18-7f13-4a20-b455-f83e3710d754,delivered,,2020-10-05 20:33:07.305 UTC,2020-10-08 16:31:19.823 UTC,coveralls,200
04e749cf-17e2-45ba-868a-ce31473ec784,9a69d0d9-9cfc-4ed0-b3d6-fdfd039821b8,0145bef0-6407-44bc-a8ad-b6d86af1628e,closed,no_contact_facility,2020-08-19 23:33:17.322 UTC,2020-09-02 10:09:19 UTC,coveralls,20
eead9429-449d-499a-a346-8d56c21592ef,bd8fb9de-b900-46b1-8ab3-f1f32c46e7c3,01537732-963e-418d-b4dd-c4cef78420a0,closed,no_supply,2020-08-04 04:04:10.443 UTC,2020-08-10 10:08:37 UTC,nitrile_gloves,200
66953095-6ba7-4f39-a9be-0961d35c4feb,4817a666-1c79-4e9f-a45d-90d21a91f850,015ab175-dc5e-4dea-a4fd-be219b3a59b3,delivered,,2020-07-21 00:00:00 UTC,2020-10-14 07:10:53 UTC,surgical_mask,2000
d657d604-0a1a-46ef-98a0-c275d0a73e12,15af912d-2d37-40ca-8673-15dde381dbf9,015ab175-dc5e-4dea-a4fd-be219b3a59b3,delivered,,2020-10-23 05:01:56.243 UTC,2020-11-21 06:15:08.783 UTC,gown,300
1f5dfec7-8730-425f-81fe-ca7aa24b9623,b47bd621-b040-40f6-b521-ff3450cc499b,015d078e-8964-42da-bcb9-183b3ba1c5bb,delivered,,2020-05-03 00:00:00 UTC,2020-10-14 07:10:29 UTC,surgical_mask,50
4dc88769-743b-4ac2-b0c3-9e23486d3943,d62a23e4-4e82-4d30-8444-7af62b00cec2,01603b34-993e-4d4d-a50f-977799a83954,delivered,,2021-06-05 21:09:51.045 UTC,2021-06-28 18:03:24.269 UTC,cloth_mask,50
396fe1ed-7dd3-495e-96ad-28e1a9c39642,39b82af8-8af3-446f-a5a4-d3e9fd7635e5,01661479-787c-4046-8845-7d437f4061d4,delivered,,2020-10-06 00:00:00 UTC,2020-10-30 12:10:00 UTC,face_shield,400
57b35e07-207e-4a97-9e9d-9fcb16a18089,50fcc7f4-a48e-4132-8fa4-1bf0ba1a1131,018c2d44-dcdc-4d20-ac44-0b9ecf68cb38,closed,no_contact_donor,2020-07-18 22:03:41.013 UTC,2020-08-17 05:08:15 UTC,gown,45
1dc2e2b6-ae00-4de9-800e-0d5719d475c5,39eb056f-c883-44d4-9c55-438d29c1c8be,01a962f0-3de8-4bbd-859f-f65b114004cc,delivered,,2020-09-29 20:31:16.085 UTC,2020-10-11 19:52:28.851 UTC,n95,500
1b043b84-f17f-4f2a-9518-908c58b04f05,7f4d5860-b070-4cef-b624-eb44e518f6c5,01acfff7-68a9-4031-a8f2-acb43d4214d4,delivered,,2020-05-26 00:00:00 UTC,2020-10-14 07:10:47 UTC,cloth_mask,300
24476e56-5dbd-4192-9921-986ba61e013c,30cc6956-8ed8-4a8c-b576-420e3d4ac365,01acfff7-68a9-4031-a8f2-acb43d4214d4,delivered,,2021-04-16 21:25:32.324 UTC,2021-06-28 19:51:29.717 UTC,gown,670
25acb163-03ae-48ac-935a-6e0de558b288,8db4f38c-3d8f-4e05-8b1c-78bc2ba463d5,01acfff7-68a9-4031-a8f2-acb43d4214d4,delivered,,2021-06-23 17:12:28.594 UTC,2021-07-11 18:40:51.945 UTC,surgical_mask,3000
31d8d694-d429-47da-bb63-e7d46e84463d,bb689c15-10bf-486a-af99-dba88b4c69b8,01acfff7-68a9-4031-a8f2-acb43d4214d4,closed,prefers_different,2021-06-17 21:04:16.954 UTC,2021-06-22 21:33:29.893 UTC,surgical_mask,1200
4d1d617f-0d79-4fcb-92e0-8d8113d0f44b,ec8e311d-4531-4c11-9b92-c44918e61f59,01acfff7-68a9-4031-a8f2-acb43d4214d4,delivered,,2021-06-07 20:44:07.847 UTC,2021-06-22 18:56:55.683 UTC,sanitizer,300
65e64584-2299-4f1b-a333-05cfe7a83b6a,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,01acfff7-68a9-4031-a8f2-acb43d4214d4,closed,no_contact_facility,2021-05-24 22:29:51.53 UTC,2021-06-17 22:24:51.871 UTC,nitrile_gloves,20
65e64584-2299-4f1b-a333-05cfe7a83b6a,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,01acfff7-68a9-4031-a8f2-acb43d4214d4,closed,no_contact_facility,2021-05-24 22:29:51.53 UTC,2021-06-17 22:24:51.871 UTC,face_shield,100
65e64584-2299-4f1b-a333-05cfe7a83b6a,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,01acfff7-68a9-4031-a8f2-acb43d4214d4,closed,no_contact_facility,2021-05-24 22:29:51.53 UTC,2021-06-17 22:24:51.871 UTC,gown,300
65e64584-2299-4f1b-a333-05cfe7a83b6a,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,01acfff7-68a9-4031-a8f2-acb43d4214d4,closed,no_contact_facility,2021-05-24 22:29:51.53 UTC,2021-06-17 22:24:51.871 UTC,sanitizer,400
66835843-83f5-43ee-8a40-6467011e9be8,4d4a58a1-f187-4b16-bd64-b73f7b736e29,01acfff7-68a9-4031-a8f2-acb43d4214d4,pre_match,not_contacted,2021-06-22 19:31:20.446 UTC,,sanitizer,400
e6fa3d87-4fb6-4b06-b95b-4eeea8e7b882,9ddda6e9-e9bb-4008-a1b9-23774f0ba6a2,01acfff7-68a9-4031-a8f2-acb43d4214d4,closed,no_supply,2020-08-13 18:06:16.005 UTC,2020-08-17 07:08:15 UTC,n95,50
e6fa3d87-4fb6-4b06-b95b-4eeea8e7b882,9ddda6e9-e9bb-4008-a1b9-23774f0ba6a2,01acfff7-68a9-4031-a8f2-acb43d4214d4,closed,no_supply,2020-08-13 18:06:16.005 UTC,2020-08-17 07:08:15 UTC,nitrile_gloves,200
bfe06698-a7ad-4ab9-8281-a5a35be41ee9,4d4a58a1-f187-4b16-bd64-b73f7b736e29,01d43343-c55c-40a0-8b68-db19b49ddc67,delivered,,2021-06-25 12:20:39.862 UTC,2021-07-09 20:36:25.45 UTC,sanitizer,269
5033ad9b-f0ce-460b-88fa-a728a0b65ccd,57c6ee41-6820-4e15-ae13-1feeee2891fa,01d559b4-3ef1-4b45-afcd-c06c7ca16ff9,delivered,,2021-01-20 18:56:26.221 UTC,2021-02-23 03:45:25.989 UTC,gown,2000
5d45dd38-bac9-4204-a3b4-036be477d326,bb689c15-10bf-486a-af99-dba88b4c69b8,01d559b4-3ef1-4b45-afcd-c06c7ca16ff9,closed,prefers_different,2021-06-17 21:04:18.031 UTC,2021-06-21 21:49:15.451 UTC,surgical_mask,400
6c47e75e-c552-4865-9f5d-0bcd9df1c703,53b43b5c-925a-4f96-a1b1-1d551f01e2d6,01d559b4-3ef1-4b45-afcd-c06c7ca16ff9,delivered,,2021-02-24 02:01:07.933 UTC,2021-03-29 21:29:19.852 UTC,kn95,300
f14dbbff-8665-40d2-85d2-95acf6945d42,dd078076-fe92-4a70-bb68-d0d33cac0119,01d559b4-3ef1-4b45-afcd-c06c7ca16ff9,delivered,,2021-03-26 15:14:26.729 UTC,2021-03-03 00:00:00 UTC,n95,300
698a0da1-8d46-4ea9-a18f-0fe1062d06c7,19ad796a-7918-4de2-9047-7ed9cc8b3490,01f06c9e-aaa1-4278-a1bb-a9807ab522bc,delivered,,2020-04-22 00:00:00 UTC,2020-10-14 07:10:08 UTC,n95,100
8f03346b-bc33-4777-b74a-93e45c69cc6a,de885603-bcab-4a9f-9d90-649416dda26f,01f3654c-fd78-4db2-b743-65c743813fd1,closed,no_contact_facility,2020-06-22 00:00:00 UTC,2020-10-14 08:10:37 UTC,cloth_mask,0
